ENGINE_RUN_TINE (),ENGINE_RPM (),VEHICLE_SPEED (),THROTTLE (),ENGINE_LOAD (),COOLANT_TEMPERATURE (),LONG_TERM_FUEL_TRIM_BANK_1 (),SHORT_TERM_FUEL_TRIM_BANK_1 (),INTAKE_MANIFOLD_PRESSURE (),FUEL_TANK (),ABSOLUTE_THROTTLE_B (),PEDAL_D (),PEDAL_E (),COMMANDED_THROTTLE_ACTUATOR (),FUEL_AIR_COMMANDED_EQUIV_RATIO (),ABSOLUTE_BAROMETRIC_PRESSURE (),RELATIVE_THROTTLE_POSITION (),INTAKE_AIR_TEMP (),TIMING_ADVANCE (),CATALYST_TEMPERATURE_BANK1_SENSOR1 (),CATALYST_TEMPERATURE_BANK1_SENSOR2 (),CONTROL_MODULE_VOLTAGE (),COMMANDED_EVAPORATIVE_PURGE (),TIME_RUN_WITH_MIL_ON (),TIME_SINCE_TROUBLE_CODES_CLEARED (),DISTANCE_TRAVELED_WITH_MIL_ON (),RUL
1313.25,0.0,20.392157,32.941177,27.0,3.125,0.0,33.0,35.686275,52.549019,16.078432,31.764706,20.0,0.0,101.0,0.784314,26.0,6.0,34.800003,26.199997,14.335,0.0,0.0,8808.0,0.0,255.0,99.52681388012618
1313.25,0.0,20.392157,32.941177,27.0,3.125,0.0,33.0,35.686275,52.941177,16.078432,31.764706,20.392157,0.0,101.0,1.176471,26.0,6.0,43.199997,26.199997,14.296,0.0,0.0,8808.0,0.0,255.0,99.50052576235542
1313.25,0.0,20.392157,31.372549,28.0,3.125,0.0,33.0,35.686275,52.941177,16.078432,31.764706,20.392157,0.0,101.0,1.176471,26.0,6.0,43.199997,26.199997,14.296,0.0,0.0,8808.0,0.0,255.0,99.47423764458465
1457.0,4.0,20.0,31.372549,28.0,3.125,0.0,31.0,35.686275,52.941177,16.078432,31.764706,20.392157,0.0,101.0,1.176471,26.0,-2.0,43.199997,26.199997,14.296,0.0,0.0,8808.0,0.0,255.0,99.44794952681389
1457.0,4.0,20.0,31.372549,28.0,3.125,0.0,31.0,36.07843,52.941177,16.078432,31.764706,20.392157,0.0,101.0,1.176471,26.0,-2.0,53.400002,26.300003,14.335,0.0,0.0,8808.0,0.0,255.0,99.42166140904311
1457.0,4.0,20.0,31.372549,28.0,3.125,0.0,31.0,36.07843,52.549019,16.078432,31.764706,20.0,0.0,101.0,1.176471,26.0,-2.0,53.400002,26.300003,14.335,0.0,0.0,8808.0,0.0,255.0,99.39537329127235
1485.75,3.0,20.0,29.411764,28.0,3.125,0.0,29.0,36.07843,52.549019,16.078432,31.764706,20.0,0.0,101.0,1.176471,26.0,1.0,53.400002,26.300003,14.335,0.0,0.0,8808.0,0.0,255.0,99.36908517350159
1485.75,3.0,20.0,29.411764,28.0,3.125,0.0,29.0,39.215687,52.549019,16.078432,31.764706,20.0,0.0,101.0,1.176471,26.0,1.0,53.400002,26.300003,14.335,0.0,0.0,8808.0,0.0,255.0,99.34279705573081
1485.75,3.0,20.0,29.411764,28.0,3.125,0.0,29.0,39.215687,52.549019,16.078432,31.764706,20.392157,0.0,101.0,1.176471,26.0,1.0,58.900002,26.300003,14.335,0.0,0.0,8808.0,0.0,255.0,99.31650893796005
1485.75,3.0,20.0,29.411764,28.0,3.125,0.0,29.0,39.215687,52.549019,16.078432,31.764706,20.392157,0.0,101.0,1.176471,26.0,1.0,58.900002,26.300003,14.335,0.0,0.0,8808.0,0.0,255.0,99.29022082018928
1432.75,3.0,20.392157,32.156864,28.0,3.125,0.0,32.0,39.215687,52.549019,16.078432,31.764706,20.392157,0.0,101.0,1.176471,26.0,3.0,58.900002,26.300003,14.335,0.0,0.0,8808.0,0.0,255.0,99.26393270241851
1432.75,3.0,20.392157,32.156864,28.0,3.125,0.0,32.0,37.254902,52.549019,16.078432,31.764706,20.392157,0.0,101.0,1.176471,26.0,3.0,58.900002,26.300003,14.335,0.0,0.0,8808.0,0.0,255.0,99.23764458464774
1432.75,3.0,20.392157,32.156864,28.0,3.125,0.0,32.0,37.254902,52.549019,16.078432,31.764706,20.0,0.0,101.0,1.176471,26.0,3.0,70.5,26.5,14.335,0.0,0.0,8808.0,0.0,255.0,99.21135646687698
1432.75,3.0,20.392157,31.372549,29.0,3.125,0.0,32.0,37.254902,52.549019,16.078432,31.764706,20.0,0.0,101.0,1.176471,26.0,3.0,70.5,26.5,14.335,0.0,0.0,8808.0,0.0,255.0,99.1850683491062
1415.5,0.0,20.0,31.372549,29.0,3.125,0.0,31.0,37.254902,52.549019,16.078432,31.764706,20.0,0.0,101.0,1.176471,27.0,2.0,70.5,26.5,14.335,0.0,0.0,8808.0,0.0,255.0,99.15878023133544
1415.5,0.0,20.0,31.372549,29.0,3.125,0.0,31.0,38.431374,52.549019,16.078432,31.764706,20.0,0.0,101.0,1.176471,27.0,2.0,82.699997,26.699997,14.355,0.0,0.0,8808.0,0.0,255.0,99.13249211356468
1415.5,0.0,20.0,31.372549,29.0,3.125,0.0,31.0,38.431374,52.549019,16.078432,31.764706,20.0,0.0,101.0,1.176471,27.0,2.0,82.699997,26.699997,14.355,0.0,0.0,8808.0,0.0,255.0,99.1062039957939
1446.0,0.0,20.0,30.588236,30.0,3.125,0.0,31.0,38.431374,52.549019,16.078432,31.764706,20.0,0.0,101.0,1.176471,27.0,1.0,82.699997,26.699997,14.355,0.0,0.0,8808.0,0.0,255.0,99.07991587802313
1446.0,0.0,20.0,30.588236,30.0,3.125,0.0,31.0,37.254902,52.549019,16.078432,31.764706,20.0,0.0,101.0,1.176471,27.0,1.0,82.699997,26.699997,14.355,0.0,0.0,8808.0,0.0,255.0,99.05362776025235
1446.0,0.0,20.0,30.588236,30.0,3.125,0.0,31.0,37.254902,52.549019,16.078432,31.764706,20.0,0.0,101.0,1.176471,27.0,1.0,95.199997,27.0,14.355,0.0,0.0,8808.0,0.0,255.0,99.02733964248159
